Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
Orbitel International Corp.;Hall 4 - K175;Taïwan;O's Bubble Popping Boba Drink (https://youtu.be/JYHSFd-Z0fU?si=GA_GEB7Blcwwig2-), O's Bubble Popping Boba Can (https://www.osbubble.com/categories/popping-boba-and-aloe-vera), O's Bubble Stir-Fried Noodle Kit, O's Bubble Instant Latte with Reusable Shaker Edition (Matcha/Taro/Thai Tea/Black Tea), O's Bubble Popping Boba Party Kit (https://www.osbubble.com/categories/popping-boba-party-kit-1), O's Bubble Matcha Kit with Mini Matcha Shaker (https://www.osbubble.com/categories/matcha-green-tea-kit), O's Bubble Swicy Kit (Korean Tteokbokki & Boba Fusion Kit), O's Bubble Open to Eat Boba Party Kit (On-the-Go Instant Boba) (https://www.osbubble.com/categories/open-to-eat-boba-party-kit), O's Bubble Instant Marbling Boba Party Kit (https://www.osbubble.com/categories/ambient-party-kit);https://www.osbubble.com/;LinkedIn (https://www.linkedin.com/company/orbitel-international-corp/), Facebook (https://facebook.com/osbubble), Instagram (https://instagram.com/osbubbletea), TikTok (https://www.tiktok.com/@osbubbletea), YouTube (https://www.youtube.com/@osbubble3454);Grocery products;Non-alcoholic beverages, Confectionery, biscuits and pastry, Delicatessen, Ready to Eat;6 F.-6, No. 736, Zhongzheng Rd.,, Zhonghe Dist.,, New Taipei City, 235
FAMILLE MARY : Apiculteurs-Miel/honey/Propolis;Hall 5A - P072;France;Shot Tonimel 3000 Vitality (https://www.famillemary.fr/tonimel-express-vitalite-bio-3000mg-1-boite.html?___store=default&lgw_code=23663-2900&utm_source=affiliation&utm_campaign=effinity&eff_cpt=23191363&eff_sub1=7152b4b12b0b407994c1ad15c0b821db), Manuka Honey 170g - 514 MG0 (https://www.famillemary.fr/miel-de-manuka-514-mgo-170g.html?___store=default&lgw_code=23663-2902&utm_source=affiliation&utm_campaign=effinity&eff_cpt=23191363&eff_sub1=cfea3e7f932449d0a9b57e8e403dee99), Organic Thyme & Green Propolis Spray 20mL (https://www.famillemary.fr/spray-propolis-verte.html?_gl=1*129816b*_up*MQ..*_gs*MQ..&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SCj9lYZBxwrM6PLsmrR50_EYKWbB49FG2zSrvTJNYw2dbF91BAsV9EaAu0cEALw_wcB&gbraid=0AAAAAD1F1BBiU-xDE_0xhB9QHwj45QJjV), Lavender Honey from Luberon 230g (https://www.famillemary.fr/miel-de-lavande.html?___store=default&utm_source=google-shopping&utm_medium=organic&utm_source=google&utm_medium=cpc&utm_campaign=MV_National_Shopping_Marque&gad_source=1&gad_campaignid=21675367915), Honey & Raspberry 170g (https://www.famillemary.fr/miel-framboise-1-pot.html), Thyme Honey & Green Propolis 200g (https://www.famillemary.fr/miel-de-thym-propolis-verte-1-pot.html?___store=default&lgw_code=23663-2282&utm_source=affiliation&utm_campaign=effinity&eff_cpt=23191363&eff_sub1=d9acd33914ff49538334aebbbfe8ce50), Quick Boost Energy Shot;https://www.famillemary.fr/;LinkedIn (https://www.linkedin.com/company/famille-mary/), Facebook (https://www.facebook.com/famillemaryFR/?locale=fr_FR), Instagram (https://www.instagram.com/famille_mary/);Grocery products;Confectionery, biscuits and pastry, Healthy foods and diet products;MOULIN DE BEAU RIVAGE, LD SAINT ANDRE DE LA MARCHE, SEVREMOINE, 49230
AMBROSIA OILS (1976) LTD;Hall 2 - K138;Cyprus;CHRYSEON Cypriot Organic Extra Virgin Olive Oil with edible 24ct Gold Flakes;https://www.ambrosia.com.cy/;;Grocery products;;Larnaca Industrial Estate 6304, P.O. Box 40433, LARNACA, 6304, LARNACA
ACEITES MAEVA;Hall 2 - P275;;;;;Grocery products;;
Food for Life Baking Co.;Hall 4 - P055;United States of America;;;;Grocery products;;2991 E. Doherty St., Corona, 92879
C.Vale - Cooperativa Agroindustrial;Hall 6 - L120;Brazil;;;;Poultry and game;;Ariosvaldo Bittencourt Avenue, 2000, Linha Santa Fé, Palotina, 85950-000, PR
Trade Café;Hall 6 - H148;United States of America;;;LinkedIn (https://www.linkedin.com/company/64761502/), Facebook (https://www.facebook.com/TradeCafeInc/), Instagram (https://www.instagram.com/tradecafeinc/);Meat and tripe;;2801 Centerville Road, First Floor, PMB 8003, Wilmington, 19808, Delaware
SILBURY MARKETING LTD;Hall 7 - C364;United Kingdom;CHOICE - Plain pizza sauce (https://silbury.co.uk/pizza-sauces), SIGNATURE - Aromatic pizza sauce (https://silbury.co.uk/pizza-sauces), Arrabbiata Pasta Sauce (https://silbury.co.uk/pasta-sauces), PIZZA SAUCE - 100% Italian Pomodoro (https://silbury.fr/produits/sauces-a-pizza), Tomato and mascarpone Pasta Sauce (https://silbury.co.uk/pasta-sauces), FAMOUSLY - Authentic pizza sauce (https://silbury.co.uk/pizza-sauces), Pomodoro Pasta Sauce (https://silbury.co.uk/pasta-sauces), CLASSIC BBQ - Smokey Pizza Sauce (https://silbury.co.uk/pizza-sauces);;;Grocery products;Semi-finished food products and ingredients;Beaumont Road, BANBURY, OX16 1RH, .
Salaison du Condroz-Marcotty;;Belgium;Bacon, Bacon strips 1kg, Smoked bacon , Bacon strips, Cooked ham cubes ;https://www.marcotty.com/;;Cured and Salted meat;Cured and salted meat;Avenue de l’Energie 16, ALLEUR, 4432
T.C. Jacoby & Company;Hall 7 - D182;United States of America;;;;Dairy products, eggs;;1716 Hidden Creek Court, Saint Louis, 63131
S.S. Taris Uzum Tarim Koop. Birligi;Hall 3 - C158;Türkiye;Sultana raisin;https://www.tarisuzum.com.tr/;LinkedIn (https://www.linkedin.com/company/tari%C5%9F-%C3%BCz%C3%BCm-birli%C4%9Fi/), Instagram (https://www.instagram.com/tarisuzum/), Twitter/X (https://x.com/TarisUzum), YouTube (https://www.youtube.com/@tarisuzumbirligi);Fruits and vegetables;;Umur Bey Mah. Isciler Cad., Key Plaza No: 147/61, Konak, Izmir, 35230
OLASAGASTI;Hall 5A - L047;Spain;;;;Seafood products;;Av ERDOZA 36, MARKINA-XEMEIN, 48270, BIZKAIA
Maslahatly Chozgut;;Turkmenistan;;;;Healthy foods and diet products;;54 Archabil Street, Ashgabat, 744036
Fine Food Gida San. ve Tic. A.S.;Hall 5A - S133;Türkiye;IQF Peas;https://www.finefood.com.tr/tr/;;Grocery products;Frozen products;Yenicekoy Mah. Bursa Cad. No: 66/2, Inegol, Bursa, 16900
Senocak Gida Findik Tic. Ltd. Sti.;Hall 3 - F205;Türkiye;Hazelnut Inshell, Roasted Hazelnut Kernels, Blanched Hazelnut Kernels, Diced Hazelnut, Roasted and Cracked Hazelnut Inshell, Hazelnut Paste, Hazelnut Meal, Natural Hazelnut Kernels;https://www.senocaknut.com/en;LinkedIn (https://tr.linkedin.com/company/%C5%9Fenocakg%C4%B1da), Facebook (https://www.facebook.com/senocaknut/), Instagram (https://www.instagram.com/senocaknut/), YouTube (https://www.youtube.com/channel/UC89eNCPnNQkFy0JZ2d8uWLQ);Fruits and vegetables;;Cumhuriyet Mah. No:72, Mustafa Kemal Bulv., Ordu, 52200, ALTINORDU
WTA;Hall 2 - J087;United Kingdom;;;LinkedIn (https://www.linkedin.com/company/wta-group/);Services and trade press;;Suite 3e Manchester Int'l Office, 11 Styal Road, Wythenshawe, M22 5WB, Manchester
New Carbon Company / Golden Waffles;Hall 4 - M092;United States of America;;;;Grocery products;;1 Braxton Way, Suite 100, Glen Mills, 19342
NAVIMPEX SA;Hall 7 - K434;France;;;;Healthy foods and diet products;;10-12 rue de l'Amiral Hamelin, PARIS, 75116, .
STROUTHOS FARM HOUSE;Hall 7 - F263;Cyprus;;;;Dairy products, eggs;;Nikou Evangelou 4, Akaki, Nicosia, 2720
MELLONA - ASSIA MARE LTD;Hall 2 - L147;Cyprus;Organic Functional Raw Honey Spreads (https://www.mellona.com.cy/categories-catalogue/organic-functional-raw-honey/), Traditional honey spreads (https://www.mellona.com.cy/categories-catalogue/traditional-raw-honey-spreads/), Raw honey with superfoods (https://www.mellona.com.cy/categories-catalogue/superfood-infused-raw-honey/);https://www.mellona.com.cy/;Facebook (https://www.facebook.com/MellonaCyprus), Instagram (https://www.instagram.com/mellona.rawhoney);Grocery products;;Dafnis 5, LIMASSOL, 3056, Limassol
Kesebetler Gida Tic. Ltd. Sti.;Hall 5A - R131;Türkiye;FROZEN FIG , APRICOT, pomegranate airls , FROZEN STRAWBERRY;https://www.kesebetler.com.tr/;Instagram (https://www.instagram.com/kesebetlerofficial);Grocery products;Frozen products;Reis Mah. 4 Sok. No:4, Aksehir, Konya, 42550
NORTINDAL SEA PRODUCTS;Hall 2 - L200;Spain;;https://www.nortindal.com/en/;Instagram (https://www.instagram.com/nortindal_/);Grocery products;;POLIGONO IRUNZUBI 4, 5, 6, 20490, Guipuzkoa
EL PAELLER;Hall 2 - R251;Spain;;https://elpaeller.com/;LinkedIn (https://www.linkedin.com/company/el-paeller-caldos), Facebook (https://facebook.com/ritualelpaeller), Instagram (https://instagram.com/elpaeller), TikTok (https://tiktok.com/@elpaeller), YouTube (https://www.youtube.com/@elpaeller), Pinterest (https://es.pinterest.com/elpaeller);Semi-finished food products and ingredients;;C/ Incolla, 14, P.I. La Pahilla, Chiva, 46370, Valencia
ALIMA MILK;;Poland;;https://alimamilk.com/pobierz/;;Dairy products, eggs;;27 Grudnia 5, Środa Wielkopolska, 63-000
ITOCHU EUROPE PLC;Hall 4A - F013;United Kingdom;;;;Grocery products;;The Broadgate Tower,, 20 Primrose Street, LONDON, EC2A 2EW, .
Nuteko Ltd.;Hall 5B - N227;Latvia;;;;Confectionery, biscuits and pastry;;Lielā iela 31, Jaunpagasts, Virbu pagasts, LV-3292, Talsu novads
CÁRNICAS MOLINA;Hall 6 - B169;Spain;;https://iberianmoments.com/;;Meat and tripe;;PARAJE LA FABRICA S N, PUERTO LUMBRERAS, 30891
Intervision;Hall 6 - J139;United States of America;;;;Poultry and game;;3050 Peachtree Rd. #450, Atlanta, 30305, GA
USA Poultry Egg Export Council;Hall 6 - J149;United States of America;;https://www.usapeec.org/;;Poultry and game;;1532 Cooledge Road, Tucker, 30084, Georgia
LA SELVA;Hall 6 - C174;Spain;;;;Cured and Salted meat;Cured and salted meat;C/  Esglesia, 9, CAMPLLONG, 17457, Girona
NINGXIA QIXINYUAN BIOTECHNOLOGY CO LTD;Hall 4 - L291;People's Republic of China;Black Gojiberry (http://www.nxqxygouqi.com/index.php/td-6-134), Organic Gojiberry (http://www.nxqxygouqi.com/index.php/td-6-141), Organic Gojiberry Puree (http://www.nxqxygouqi.com/index.php/td-6-140);http://www.nxqxygouqi.com/;;Healthy foods and diet products;;NO 7-8 WOLFBERRY PROCESSING CENTER,, ZHONGNING COUNTY,, ZHONGWEI, 755199, NINGXIA
CARM Trading Ltd;Hall 2 - J109;Malta;Leap Nutrition ZINGG Supreme Pre-Workout (https://www.leap-nutrition.com/product-page/zingg), Leap Nutrition Pea Protein Chocolate (https://www.leap-nutrition.com/product-page/pea-protein), Leap Nutrition Loaded BCAA 4:1:1 (https://www.leap-nutrition.com/product-page/loaded-bcaa-4-1-1), Leap Nutrition Cre Ahead Creatine Monohydrate 1Kg (https://www.leap-nutrition.com/product-page/creahead?variantId=d72e4f72-95b2-4744-adde-9c62ad7eb763), Leap Nutrition Whey Ahead Chocolate (https://www.leap-nutrition.com/product-page/100-whey-ahead), Leap Nutrition Pea Protein Vanilla (https://www.leap-nutrition.com/product-page/pea-protein-vanilla), Leap Nutrition Superior Testo–XL (https://www.leap-nutrition.com/product-page/superior-testo-xl), Leap Nutrition Platinum OMEGA 3 (https://www.leap-nutrition.com/product-page/platinum-omega-3), Leap Nutrition Marine Collagen (Naticol®) (https://www.leap-nutrition.com/product-page/marine-collagen-naticol-300g),  Leap Nutrition Whey Ahead Vanilla  (https://www.leap-nutrition.com/product-page/whey-ahead-strawberry-vanilla?variantId=43cfa8e9-e9fc-4783-9434-a0b59b7a4a98), Leap Nutrition Premium EAA  (https://www.leap-nutrition.com/product-page/leap-nutrition-premium), Leap Nutrition Pure Collagen (https://www.leap-nutrition.com/product-page/leap-nutrition-pure-collagen), Leap Nutrition Cre Ahead Creatine Monohydrate (https://www.leap-nutrition.com/product-page/creahead?variantId=337e06cf-ee5b-4a0c-aeb1-2a925bdca6e8), Leap Nutrition Dream & Glow™ Night Collagen, Leap Nutrition FLEX-AHEAD™ – Premium Joint Care Formula, Leap Nutrition Chelated Magnesium +B6;https://www.leap-nutrition.com/;;Grocery products;Healthy foods and diet products;Triq Daniel Spiteri Sacco Handaq, Industrial Park Qormi, Qormi, QRM1000
PLASOLIVA Y MAESTROS ACEITUNEROS;Hall 2 - N201;;;;;Grocery products;;
Mirelite Mirsa Zrt.;Hall 5A - T135;Hungary;;;;Organizations, federations, institutions;;Baross utca 78., Albertirsa, 2730
TAIYUAN TIANHE FOOD GROUP CO., LTD.;Hall 5B - J202;People's Republic of China;In-Shell Walnuts and Kernels;https://www.tythsp.cn/;;Grocery products;;NO. 6 NORTH BEIYING ROAD, Taiyuan City, 030001, Shanxi Province
Akdeniz Depo Loj. San. Tic. Ltd. Sti;Hall 7 - G361;Türkiye;Warehouse Racking Components & Accessories – Automated Warehouse Systems;https://www.akdenizrack.com/;LinkedIn (https://tr.linkedin.com/company/akdenizrack), Facebook (https://www.facebook.com/akdenizrack/), Instagram (https://www.instagram.com/akdenizrack/), YouTube (https://www.youtube.com/@akdenizrack7486);Equipment, Technologies and Services;;Ikıtelli Org. San. Bolgesi Mah., Demirciler G1 Blok No:485, Basaksehir, Istanbul, 34490
MATCO FOODS;Hall 8 - B028;Pakistan;FALAK Extreme Basmati Rice (https://falakfoods.com.pk/our-products/premium-rice-range/), FALAK Chili Crunch (https://falakfoods.com.pk/our-products/premium-rice-range/), FALAK Seasoning (https://falakfoods.com.pk/our-products/premium-rice-range/);https://www.matcofoods.com/;LinkedIn (https://www.linkedin.com/company/matco-foods-limited-rice-glucose-division/?viewAsMember=true), Facebook (https://www.facebook.com/matcofoods), Instagram (https://www.instagram.com/matcofoods?igsh=MWwwa21qcndndW80Mw==), YouTube (https://www.youtube.com/watch?v=I-4coCpgDL0);Grocery products;;B1/A PHASE 1, SITE SUPERHIGHWAY, INDUSTRIAL AREA, KARACHI, 75340, SINDH
RPAC;Hall 8 - G006;United States of America;;;;Grocery products;;21490 S. Ortigalita Road, Los Banos, 93635
VerMints Inc;Hall 4 - P055;United States of America;;;;Confectionery, biscuits and pastry;;PO Box 850473, Braintree, 02184
"CYNARA ""ARTICHOKE LOVERS""";Hall 2 - M252;;;;;Grocery products;;
LEROUX;Hall 5A - S048;France;;;;Grocery products;;84 rue François Herbo, ORCHIES, 59310
Maasta Health Care LLC;Hall 6 - J130;United States of America;;;;Meat and tripe;;160 Platte Street, Suite 236, Denver, 80202
LA NOVELDENSE;Hall 2 - N251;Spain;Seeds (https://lanoveldense.com/productos/), Herbs (https://lanoveldense.com/productos/), Seasonings, Spices (https://lanoveldense.com/productos/);https://lanoveldense.com/;LinkedIn (https://www.linkedin.com/company/especias-e-infusiones-la-noveldense-s-l-);Grocery products;;PI. La Polvorista C/ Ulea, 14., Molina de Segura, 30500, Murcia
UNDA;Hall 6 - H071;Latvia;;;;Seafood products;;Jurass treet 60, ENGURE, LV-2113
GIE EURASANTE;Hall 5A - S047;France;;https://www.euralimentaire.com/;LinkedIn (https://www.linkedin.com/company/euralimentaire/);Equipment, Technologies and Services;;1 rue du MIN  , Bât. administratif, Rez-de-chaussée,, Lille, 59160
TG Company LLC;Hall 5A - G06;Armenia;Fruit bar Plum (https://www.tegusto.am/), Mashed wild strawberry without added sugar (https://www.tegusto.am/), Fruit bar Apricot  (https://www.tegusto.am/), Cherry preserve no added sugar (https://www.tegusto.am/), Mashed Apricot without added sugar (https://www.tegusto.am/), Blackberry preserve no added sugar (https://www.tegusto.am/);https://www.tegusto.am/;Instagram (https://www.instagram.com/tm_tegusto?igsh=ejN5bzdzZ29qaT);Grocery products;Fruits and vegetables;A. Bakunts street 38/1, Artashat, 0706
YURRITA GASTRONOMIKA;Hall 2 - L122;Spain;Gildas with Cantabrian Anchovies, Cantabrico Sea anchovies, Conservas Gallegas, White Tuna;https://www.yurritagroup.com/;LinkedIn (https://www.linkedin.com/company/yurrita-e-hijos-s-a-), Facebook (https://www.facebook.com/yurritagastronomika), Instagram (https://www.instagram.com/yurritagastronomika/), YouTube (https://youtube.com/yurritagastronomika);Grocery products;;Ctra. a Ondarroa s/n, CTRA. A ONDARROA, Mutriku, 20830, Guipuzcoa
Canção;Hall 6 - L120;Brazil;;;;Poultry and game;;Estrada Maringá, lote 152, s/n, Maringá, 87070-810, PR
BraDava;Hall 6 - H071;Latvia;;;;Seafood products;;Loču iela 2, Ventspils,, Ventspils, LV-3601
FRIMESA COOPERATIVA CENTRAL;Hall 6 - L156;Brazil;;;;Poultry and game;;Rua Bahia 159, Medianeira, 85723-006, PR
Wisconsin DATCP;Hall 7 - D182;United States of America;;;;Organizations, federations, institutions;;2811 Agriculture Drive, Madison, 53708
33 Mesrubat Ltd. Sti.;Hall 5C - G116;Türkiye;KING PARS ENERGY DRINK, PAMIR SAUCES, PAMIR VINEGARS, PAMIR LEMONADE, PAMIR PLUS CARBONATED BEVERAGES, PAMIR FERMENTED CARROT JUICE, TUNC ANKARA CARBONATED BEVERAGE;https://www.pamirsalgam.com/;Instagram (https://www.instagram.com/pamirsalgam/);Non-alcoholic beverages;;Ogretmenler Mah. 2971 Sok., No:13/A, Tarsus, Mersin, 33420
TORRE DE NÚÑEZ;Hall 6 - A184;;;;;Meat and tripe;;
Seven Foods Tic. Ltd. Sti.;Hall 5A - R132;Türkiye;IQF OVEN SEMI DRY TOMATO, SEGMENT, CHERRY AND DICED (https://www.sevenfoods.com/), IQF OVEN SEMI DRY TOMATO MARINE , SEGMENT, CHERRY AND DICED (https://www.sevenfoods.com/);https://www.sevenfoods.com/;;Grocery products;Delicatessen, Ready to Eat, Frozen products, Healthy foods and diet products, Fruits and vegetables, Semi-finished food products and ingredients;Yazibasi Mah. 322 Sok. No:1/6, Torbali, Izmir, 35875
Pickstock Foods Ltd;Hall 6 - J213;United Kingdom;;;;Meat and tripe;;2 Coal Lane, Hartshorne, Swadlincote, Derby, DE11 7FN
Timtas Tarim Ilac ve Mahs. Tic. A.S.;Hall 8 - M048;Türkiye;Raisin Paste, Fig Paste, Apple Paste , Capers , Apricot Paste ;https://www.timtas.com.tr/;LinkedIn (https://www.linkedin.com/company/timtas---tarim-ilac-ve-mahsulleri-ticaret-as---izmir-turkey/about/);Fruits and vegetables;Grocery products;Akdeniz Mah. Sehit Fethi Bey, Cad. No:32 Kat:4 Konak, Izmir, 35210
TRADINOVA FOOD AND CONSULTANCY INC.;Hall 8 - J069;Türkiye;sesame seeds, Cashew, Sunflower seeds, Walnut, Pistachio;https://www.tradinova.com.tr/;;Fruits and vegetables;;My Prestige Tower F:119, Barbaros Dist, Istanbul, 34746
Acemoglu Gida San. ve Tic. A.S.;Hall 3 - D132;Türkiye;100% Pomegranate  sauce - 700g, Mild pepper flakes - 500g, Extra virgin olive oil - 500 ml, Black olives 3XS - 2000g , Dried eggplant for stuffing, Pomegranate sauce - 700g, Pepper & tomato mix paste - 370g, Black olives XL-L - 1000g, Dried pepper for stuffing, Black olives L-XL - 800g, Pepper & tomato mix paste - 1650g, Osmancık Rice - 1000g, Black olives M-S - 800g, Baldo Rice - 1000g, Black olives XL-2XL - 800g, Black olives M-S - 1000g, Grilled red pepper - 2900G, Black olives XL-L - 500g, Baldo Rice - 2500g, Black olives M-S - 500g, Black olives 5XS - 2000g , Mild Pepper Paste - 4300g, Hot pepper flakes - 500g, Ketchup - 400g, Black olives 2XS - 2000g , Dried zucchini for stuffing, Tomato paste - 830 g, Grilled eggplant - 650g, Dehydrated natural black olives - 2000g, Extra virgin olive oil - 750 ml, Hot pepper flakes - 200g, Extra virgin olive oil - 250 ml, Hot pepper flakes - 400g, Hot Ketchup - 400g, Extra virgin olive oil - 4L, Hot Ketchup - 700g, Pomegranate sauce - 960g, Black olives 2XL-XL - 500g, Mild Pepper Paste - 700g, Black olives XL-L - 10Kg , Tomato paste - 4350 g, Ketchup - 700g, Black olives M-L - 1000g, Mild pepper flakes - 200g, Hot pepper flakes - 1000g, Black olives XL-2XL - 1000g, Grilled red pepper - 1600G, Black olives 2X -XL - 10Kg , Osmancık Rice - 5000g;https://www.oncusalca.com.tr/;;Grocery products;Delicatessen, Ready to Eat, Fruits and vegetables;2. Org. San. Bolgesi, Celal Dogan Bulv. No:47, Baspinar, Gaziantep, 27600
Artislach nv;Hall 6 - H072;Belgium;;https://www.artislach.be/;;Poultry and game;;Genthof 6, Buggenhout, 9255
BERNAL ALIMENTACIÓN;Hall 2 - M123;;;;;Grocery products;;
Triko Foods Co., LTD.;Hall 4 - J199;Taïwan;;;;Grocery products;;146, Chi-Chiang 1st Street,, Wuchi Dist., Taichung City, 435
SHAN SHUI ME FOOD ENTERPRISE CO.,LTD.;Hall 4 - K171;Taïwan;Sunsuivi White Rice (https://en.ssv.com.tw/product/%e3%80%90sunsuivi%e3%80%91sunsuivi-sunshine-premium-rice-2kg/), YUM Organic White Rice (https://en.ssv.com.tw/product-category/yum-organic-rice/), Timu Farm Rice - Traceable Agricultural Products (https://en.ssv.com.tw/product-category/timu-farm/);https://en.ssv.com.tw/;Facebook (https://www.facebook.com/share/1DMYUfkQUB/?mibextid=wwXIfr), Instagram (https://www.instagram.com/sunsuivi), YouTube (https://www.youtube.com/@organicricefarm);Grocery products;Healthy foods and diet products, Semi-finished food products and ingredients;NO.91-1.YUH-TIEN,YUAN LI TOWN, MIAO LI COUNTY, 358
AGROPTIMUM;Hall 8 - J063;Spain;Roasted and salted in-shell pistachios 1kg, Roasted and salted in-shell pistachios 200g, Natural in-shell pistachios 200g, Roasted pistachio kernels 200g, Natural pistachio kernels 200g;https://www.agroptimum.com/;LinkedIn (https://www.linkedin.com/company/agroptimum);Fruits and vegetables;Delicatessen, Ready to Eat;Camino de las Casas de Santa Cruz 2, Villanueva de la Jara, 16230, Cuenca
BISCUIT CHOCOLATE;Hall 1 - A221;Ukraine;;;;Confectionery, biscuits and pastry;;str. Lozivska 8, Kharkiv, 61017
Unifrango;Hall 6 - L120;Brazil;;;;Poultry and game;;Av. Advogado Horácio Raccanello Filho,, Nr. 5570 - Zona 7, Maringá, 87020-030, PR
YANTAI XUFENG FOOD CO.,LTD.;Hall 5B - JK202;People's Republic of China;Peanut butter;http://www.ytxufeng.com/;;Grocery products;;NO.26 SHANGHAI ROAD, ZANGJIAZHUANG, ECONOMIC ZONE, FUSHAN DISTRICT,, Yantai City, 264006, Shandong Province
Astghik Galstyan IE;Hall 5A - G06;Armenia;VESPERUM BOUQUET (https://teayan.am/product/%D5%AB%D6%80%D5%AB%D5%AF%D5%B6%D5%A1%D5%AA%D5%A1%D5%B4%D5%AB-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/),  TEAYAN DETOX ENERGY (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), WILD THYME (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), TEAYAN DETOX ANTISTRESS (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), HARMONY BOUQUET (https://teayan.am/product/%D5%B0%D5%A1%D6%80%D5%B4%D5%B8%D5%B6%D5%AB%D5%AF-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), INSPIRATION BOUQUET (https://teayan.am/product/%D5%B8%D5%A3%D5%A5%D5%B7%D5%B6%D5%B9%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), WARMING BOUQUET (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/),  TEAYAN DETOX SLIM (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), ARMENIAN BOUQUET (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), LINDEN FLOWERS (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), WILD MINT (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), TEAYAN DETOX IMMUNITET (https://teayan.am/product/%D5%BB%D5%A5%D6%80%D5%B4%D5%A1%D6%81%D5%B6%D5%B8%D5%B2-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), RECENCY BOUQUET (https://teayan.am/product/%D5%A9%D5%A1%D6%80%D5%B4%D5%B8%D6%82%D5%A9%D5%B5%D5%A1%D5%B6-%D6%83%D5%B8%D6%82%D5%B6%D5%BB/), WILDBERRIES BOUQUET (https://teayan.am/);https://teayan.am/;LinkedIn (https://www.linkedin.com/in/astghik-galstyan-b0987a2b3/), Facebook (https://www.facebook.com/teayan.herbal), Instagram (https://www.instagram.com/p/DbQ0u-wFKqp/), YouTube (https://www.youtube.com/watch?v=kiJS6YPUb-k), Pinterest (https://www.pinterest.com/teayanarmenia/);Grocery products;;28th M. Khorenatsi str, apt. 5, Vagharshapat, 1105, Armavir
